Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Brooklyn Nets,44,120.1,43.7,87.4,50.0,14.6,36.7,39.7,18.2,22.9,79.6,8.7,35.2,43.9,26.7,6.6,5.3,13.4,19.0
Milwaukee Bucks,42,120.0,44.6,91.6,48.7,14.7,37.5,39.1,16.0,21.3,75.0,10.3,38.3,48.6,26.2,8.0,4.8,13.3,17.6
Utah Jazz,42,116.8,41.2,88.0,46.8,16.9,42.7,39.6,17.5,22.4,78.2,11.0,36.9,47.8,23.7,6.5,5.5,13.5,18.9
Denver Nuggets,43,115.7,43.6,89.3,48.8,13.3,34.6,38.6,15.2,19.3,78.6,10.2,33.8,44.1,26.9,8.3,4.4,12.6,19.2
New Orleans Pelicans,43,115.6,43.0,88.5,48.6,11.2,31.6,35.4,18.4,25.0,73.7,11.8,34.8,46.6,26.2,7.2,4.1,13.4,17.7
Philadelphia 76ers,44,115.0,42.0,87.7,48.0,10.7,29.0,37.0,20.1,26.0,77.6,10.4,36.3,46.6,23.5,8.8,6.3,14.7,20.3
Washington Wizards,42,114.9,41.5,89.4,46.5,10.9,31.6,34.5,20.9,27.2,76.8,9.2,34.4,43.6,24.9,7.4,3.5,14.0,22.1
LA Clippers,44,114.8,41.9,86.8,48.3,14.4,34.7,41.4,16.6,19.7,84.4,9.4,34.6,44.0,24.3,7.3,4.4,12.0,19.1
Sacramento Kings,43,114.6,42.9,89.3,48.1,11.9,32.9,36.2,16.9,23.2,72.6,10.3,32.4,42.7,26.0,6.6,4.8,12.9,20.0
Portland Trail Blazers,43,114.4,40.3,90.6,44.4,16.2,42.7,37.9,17.7,21.2,83.6,10.6,32.9,43.5,20.0,7.0,5.0,11.0,19.3
Phoenix Suns,42,114.0,42.9,87.5,49.0,13.2,34.5,38.3,15.1,18.2,82.9,8.2,35.1,43.3,27.4,6.6,4.3,12.7,19.8
Chicago Bulls,42,113.5,42.7,89.0,48.0,13.0,34.3,37.8,15.2,18.9,80.3,9.4,35.5,45.0,26.3,6.8,4.4,15.2,19.9
Indiana Pacers,42,113.1,42.3,89.6,47.2,12.3,34.2,36.0,16.2,20.6,78.8,8.6,33.1,41.8,26.8,8.6,6.0,13.1,20.2
Atlanta Hawks,43,112.6,39.8,87.2,45.7,12.7,34.9,36.4,20.2,24.7,82.1,11.4,34.6,46.0,24.3,6.9,5.0,13.3,19.8
Golden State Warriors,44,112.5,40.8,88.7,46.1,13.7,37.6,36.5,17.1,22.2,77.3,7.8,35.2,43.0,27.6,8.1,5.0,14.5,21.9
Dallas Mavericks,41,112.1,40.6,86.1,47.1,13.7,37.7,36.3,17.2,21.9,78.7,8.2,34.7,42.9,22.7,6.2,4.6,11.6,19.8
Boston Celtics,43,112.0,41.5,88.4,46.9,12.6,33.5,37.6,16.4,21.8,75.5,11.0,33.0,43.9,22.9,7.9,5.1,13.1,20.8
Toronto Raptors,43,112.0,39.4,88.2,44.7,15.3,40.7,37.6,17.8,21.6,82.5,9.2,31.8,41.0,25.0,8.4,5.4,12.8,22.3
Charlotte Hornets,42,111.7,40.6,88.0,46.1,13.9,36.2,38.3,16.6,21.4,77.7,10.5,33.3,43.8,27.1,8.2,4.7,14.9,18.4
Los Angeles Lakers,44,111.5,41.6,86.4,48.1,10.8,30.5,35.4,17.6,23.5,74.6,9.7,35.5,45.2,24.7,7.2,5.8,14.4,18.9
Memphis Grizzlies,40,111.4,42.4,91.8,46.2,10.5,30.2,34.8,16.1,20.5,78.5,11.1,34.6,45.7,26.8,9.7,4.4,13.0,19.0
San Antonio Spurs,40,110.0,41.4,90.4,45.8,10.8,29.9,36.1,16.5,20.9,78.8,9.1,35.2,44.2,24.6,7.1,5.2,10.8,17.3
Minnesota Timberwolves,43,109.4,40.5,91.3,44.3,12.7,36.2,35.0,15.7,20.7,76.0,10.4,32.7,43.0,25.0,8.7,5.7,14.0,21.5
Detroit Pistons,42,107.1,38.3,86.7,44.2,12.3,35.2,34.9,18.2,23.5,77.3,10.2,32.7,42.9,24.3,7.9,5.0,13.7,20.3
Houston Rockets,42,107.1,38.5,88.6,43.5,13.1,40.1,32.8,16.9,22.7,74.3,9.0,33.3,42.4,22.2,7.9,5.5,14.0,20.0
Oklahoma City Thunder,43,106.4,39.1,87.2,44.9,13.0,37.0,35.1,15.1,20.3,74.4,8.3,36.3,44.6,22.9,6.9,4.4,14.0,18.2
Miami Heat,44,106.2,38.3,83.9,45.6,12.5,36.5,34.3,17.1,21.5,79.8,8.1,34.9,42.9,25.7,7.4,4.0,14.2,19.1
New York Knicks,44,105.3,39.1,86.0,45.4,10.8,28.5,37.7,16.4,21.4,76.8,10.4,35.5,45.9,21.0,6.9,4.7,12.8,20.7
Orlando Magic,43,104.4,38.5,89.4,43.1,12.0,33.7,35.7,15.3,19.6,78.4,10.4,35.9,46.3,22.7,6.7,4.1,12.6,16.7
Cleveland Cavaliers,43,104.1,39.2,86.7,45.2,9.4,27.5,34.2,16.3,22.4,72.9,11.2,32.2,43.4,23.2,8.3,5.1,14.8,19.0
