,Team,Predicted Wins,True Wins,Games Played,Error,Percent Win
1,GSW Warriors,70,25,84,180.0%,0.8333333333333334
2,BOS Celtics,56,47,71,19.1%,0.7887323943661971
3,MIL Bucks,61,63,79,-3.2%,0.7721518987341772
4,PHI 76ers,56,44,74,27.3%,0.7567567567567568
5,TOR Raptors,64,59,85,8.5%,0.7529411764705882
6,SAS Spurs,51,29,68,75.9%,0.75
7,SAC Kings,49,30,68,63.3%,0.7205882352941176
8,UTA Jazz,49,41,68,19.5%,0.7205882352941176
9,LAL Lakers,49,52,69,-5.8%,0.7101449275362319
10,IND Pacers,45,42,69,7.1%,0.6521739130434783
11,NOP Pelicans,44,33,69,33.3%,0.6376811594202898
12,POR Trail Blazers,49,34,80,44.1%,0.6125
13,LAC Clippers,41,44,67,-6.8%,0.6119402985074627
14,WAS Wizards,41,26,68,57.7%,0.6029411764705882
15,OKC Thunder,34,41,67,-17.1%,0.5074626865671642
16,DEN Nuggets,35,49,75,-28.6%,0.4666666666666667
17,MIA Heat,31,45,70,-31.1%,0.44285714285714284
18,ORL Magic,27,33,71,-18.2%,0.38028169014084506
19,DET Pistons,26,23,71,13.0%,0.36619718309859156
20,NYK Knicks,23,22,70,4.5%,0.32857142857142857
21,MIN Timberwolves,22,20,68,10.0%,0.3235294117647059
22,ATL Hawks,23,21,72,9.5%,0.3194444444444444
23,MEM Grizzlies,20,33,68,-39.4%,0.29411764705882354
24,DAL Mavericks,21,42,72,-50.0%,0.2916666666666667
25,BKN Nets,18,32,67,-43.8%,0.26865671641791045
26,CHA Hornets,17,24,70,-29.2%,0.24285714285714285
27,CHI Bulls,16,24,70,-33.3%,0.22857142857142856
28,PHX Suns,15,28,69,-46.4%,0.21739130434782608
29,HOU Rockets,14,45,73,-68.9%,0.1917808219178082
30,CLE Cavaliers,3,19,68,-84.2%,0.04411764705882353
