,Team,Predicted Wins,True Wins,Games Played,Error,Percent Win
1,MIL Bucks,61,63,79,-3.2%,0.7974683544303798
2,LAL Lakers,49,52,69,-5.8%,0.7536231884057971
3,TOR Raptors,64,59,85,8.5%,0.6941176470588235
4,BOS Celtics,56,47,71,19.1%,0.6619718309859155
5,LAC Clippers,41,44,67,-6.8%,0.6567164179104478
6,DEN Nuggets,35,49,75,-28.6%,0.6533333333333333
7,MIA Heat,31,45,70,-31.1%,0.6428571428571429
8,HOU Rockets,14,45,73,-68.9%,0.6164383561643836
9,OKC Thunder,34,41,67,-17.1%,0.6119402985074627
10,IND Pacers,45,42,69,7.1%,0.6086956521739131
11,UTA Jazz,49,41,68,19.5%,0.6029411764705882
12,PHI 76ers,56,44,74,27.3%,0.5945945945945946
13,DAL Mavericks,21,42,72,-50.0%,0.5833333333333334
14,MEM Grizzlies,20,33,68,-39.4%,0.4852941176470588
15,NOP Pelicans,44,33,69,33.3%,0.4782608695652174
16,BKN Nets,18,32,67,-43.8%,0.47761194029850745
17,ORL Magic,27,33,71,-18.2%,0.4647887323943662
18,SAC Kings,49,30,68,63.3%,0.4411764705882353
19,SAS Spurs,51,29,68,75.9%,0.4264705882352941
20,POR Trail Blazers,49,34,80,44.1%,0.425
21,PHX Suns,15,28,69,-46.4%,0.4057971014492754
22,WAS Wizards,41,26,68,57.7%,0.38235294117647056
23,CHI Bulls,16,24,70,-33.3%,0.34285714285714286
24,CHA Hornets,17,24,70,-29.2%,0.34285714285714286
25,DET Pistons,26,23,71,13.0%,0.323943661971831
26,NYK Knicks,23,22,70,4.5%,0.3142857142857143
27,GSW Warriors,70,25,84,180.0%,0.2976190476190476
28,MIN Timberwolves,22,20,68,10.0%,0.29411764705882354
29,ATL Hawks,23,21,72,9.5%,0.2916666666666667
30,CLE Cavaliers,3,19,68,-84.2%,0.27941176470588236
