,Team,Predicted Wins,True Wins,Games Played,Error,Percent Win
1,NYK Knicks,43,22,70,95.5%,0.6142857142857143
2,ATL Hawks,43,21,72,104.8%,0.5972222222222222
3,MIL Bucks,47,63,79,-25.4%,0.5949367088607594
4,MIA Heat,41,45,70,-8.9%,0.5857142857142857
5,GSW Warriors,48,25,84,92.0%,0.5714285714285714
6,ORL Magic,40,33,71,21.2%,0.5633802816901409
7,HOU Rockets,41,45,73,-8.9%,0.5616438356164384
8,DEN Nuggets,42,49,75,-14.3%,0.56
9,TOR Raptors,46,59,85,-22.0%,0.5411764705882353
10,CHA Hornets,37,24,70,54.2%,0.5285714285714286
11,OKC Thunder,35,41,67,-14.6%,0.5223880597014925
12,BKN Nets,35,32,67,9.4%,0.5223880597014925
13,DAL Mavericks,37,42,72,-11.9%,0.5138888888888888
14,POR Trail Blazers,41,34,80,20.6%,0.5125
15,NOP Pelicans,35,33,69,6.1%,0.5072463768115942
16,PHX Suns,35,28,69,25.0%,0.5072463768115942
17,MEM Grizzlies,34,33,68,3.0%,0.5
18,BOS Celtics,33,47,71,-29.8%,0.4647887323943662
19,MIN Timberwolves,31,20,68,55.0%,0.45588235294117646
20,WAS Wizards,31,26,68,19.2%,0.45588235294117646
21,DET Pistons,32,23,71,39.1%,0.4507042253521127
22,LAC Clippers,30,44,67,-31.8%,0.44776119402985076
23,PHI 76ers,33,44,74,-25.0%,0.44594594594594594
24,CHI Bulls,31,24,70,29.2%,0.44285714285714284
25,CLE Cavaliers,30,19,68,57.9%,0.4411764705882353
26,LAL Lakers,30,52,69,-42.3%,0.43478260869565216
27,IND Pacers,29,42,69,-31.0%,0.42028985507246375
28,SAC Kings,27,30,68,-10.0%,0.39705882352941174
29,SAS Spurs,27,29,68,-6.9%,0.39705882352941174
30,UTA Jazz,26,41,68,-36.6%,0.38235294117647056
