,Team,Predicted Wins,True Wins,Games Played,Error,Percent Win
1,MIL Bucks,47,63,79,-25.4%,0.7974683544303798
2,LAL Lakers,30,52,69,-42.3%,0.7536231884057971
3,TOR Raptors,46,59,85,-22.0%,0.6941176470588235
4,BOS Celtics,33,47,71,-29.8%,0.6619718309859155
5,LAC Clippers,30,44,67,-31.8%,0.6567164179104478
6,DEN Nuggets,42,49,75,-14.3%,0.6533333333333333
7,MIA Heat,41,45,70,-8.9%,0.6428571428571429
8,HOU Rockets,41,45,73,-8.9%,0.6164383561643836
9,OKC Thunder,35,41,67,-14.6%,0.6119402985074627
10,IND Pacers,29,42,69,-31.0%,0.6086956521739131
11,UTA Jazz,26,41,68,-36.6%,0.6029411764705882
12,PHI 76ers,33,44,74,-25.0%,0.5945945945945946
13,DAL Mavericks,37,42,72,-11.9%,0.5833333333333334
14,MEM Grizzlies,34,33,68,3.0%,0.4852941176470588
15,NOP Pelicans,35,33,69,6.1%,0.4782608695652174
16,BKN Nets,35,32,67,9.4%,0.47761194029850745
17,ORL Magic,40,33,71,21.2%,0.4647887323943662
18,SAC Kings,27,30,68,-10.0%,0.4411764705882353
19,SAS Spurs,27,29,68,-6.9%,0.4264705882352941
20,POR Trail Blazers,41,34,80,20.6%,0.425
21,PHX Suns,35,28,69,25.0%,0.4057971014492754
22,WAS Wizards,31,26,68,19.2%,0.38235294117647056
23,CHI Bulls,31,24,70,29.2%,0.34285714285714286
24,CHA Hornets,37,24,70,54.2%,0.34285714285714286
25,DET Pistons,32,23,71,39.1%,0.323943661971831
26,NYK Knicks,43,22,70,95.5%,0.3142857142857143
27,GSW Warriors,48,25,84,92.0%,0.2976190476190476
28,MIN Timberwolves,31,20,68,55.0%,0.29411764705882354
29,ATL Hawks,43,21,72,104.8%,0.2916666666666667
30,CLE Cavaliers,30,19,68,57.9%,0.27941176470588236
